Date,Time_24hr,Lat,Lon,Alt,Rel_Alt
10/19/2016,14:03:52,33.4677321,-88.7625860,80.000,.49,
10/19/2016,14:03:53,33.4677320,-88.7625859,79.930,.-10,
10/19/2016,14:03:53,33.4677321,-88.7625859,79.970,.30,
10/19/2016,14:03:54,33.4677318,-88.7625859,79.960,.10,
10/19/2016,14:03:55,33.4677317,-88.7625859,79.990,.10,
10/19/2016,14:03:55,33.4677316,-88.7625858,79.980,.10,
10/19/2016,14:03:56,33.4677313,-88.7625857,79.980,.0,
10/19/2016,14:03:57,33.4677312,-88.7625856,80.000,.10,
10/19/2016,14:03:57,33.4677311,-88.7625855,80.000,.20,
10/19/2016,14:03:58,33.4677311,-88.7625855,79.990,.20,
10/19/2016,14:03:58,33.4677311,-88.7625855,79.990,.20,
10/19/2016,14:03:59,33.4677312,-88.7625855,79.970,.0,
10/19/2016,14:03:59,33.4677314,-88.7625854,79.980,.10,
10/19/2016,14:04:00,33.4677316,-88.7625854,79.960,.20,
10/19/2016,14:04:01,33.4677316,-88.7625854,79.940,.10,
10/19/2016,14:04:01,33.4677317,-88.7625855,79.940,.20,
10/19/2016,14:04:02,33.4677317,-88.7625856,79.950,.30,
10/19/2016,14:04:02,33.4677319,-88.7625857,79.950,.40,
10/19/2016,14:04:03,33.4677320,-88.7625858,79.930,.0,
10/19/2016,14:04:04,33.4677318,-88.7625858,79.940,.20,
10/19/2016,14:04:04,33.4677318,-88.7625857,79.920,.10,
10/19/2016,14:04:05,33.4677317,-88.7625856,79.930,.10,
10/19/2016,14:04:05,33.4677316,-88.7625855,79.940,.10,
10/19/2016,14:04:06,33.4677314,-88.7625854,79.970,.20,
10/19/2016,14:04:06,33.4677314,-88.7625852,79.970,.20,
10/19/2016,14:04:07,33.4677316,-88.7625851,79.990,.40,
10/19/2016,14:04:08,33.4677316,-88.7625850,79.960,.-20,
10/19/2016,14:04:08,33.4677317,-88.7625849,80.010,.10,
10/19/2016,14:04:09,33.4677317,-88.7625849,80.030,.10,
10/19/2016,14:04:09,33.4677317,-88.7625848,80.020,.10,
10/19/2016,14:04:10,33.4677318,-88.7625847,80.050,.30,
10/19/2016,14:04:10,33.4677320,-88.7625847,80.050,.40,
10/19/2016,14:04:11,33.4677321,-88.7625846,80.010,.0,
10/19/2016,14:04:11,33.4677322,-88.7625846,80.020,.10,
10/19/2016,14:04:12,33.4677322,-88.7625847,80.020,.10,
10/19/2016,14:04:12,33.4677322,-88.7625850,80.010,.10,
10/19/2016,14:04:13,33.4677320,-88.7625853,80.030,.40,
10/19/2016,14:04:14,33.4677316,-88.7625855,80.000,.40,
10/19/2016,14:04:14,33.4677311,-88.7625858,79.970,.20,
10/19/2016,14:04:15,33.4677307,-88.7625860,79.990,.20,
10/19/2016,14:04:15,33.4677303,-88.7625863,80.020,.0,
10/19/2016,14:04:16,33.4677299,-88.7625865,80.090,.10,
10/19/2016,14:04:16,33.4677295,-88.7625866,80.110,.20,
10/19/2016,14:04:17,33.4677294,-88.7625866,80.150,.20,
10/19/2016,14:04:17,33.4677293,-88.7625865,80.230,.20,
10/19/2016,14:04:18,33.4677292,-88.7625865,80.270,.49,
10/19/2016,14:04:18,33.4677290,-88.7625865,80.260,.60,
10/19/2016,14:04:19,33.4677290,-88.7625865,80.230,.40,
10/19/2016,14:04:19,33.4677290,-88.7625865,80.260,.49,
10/19/2016,14:04:20,33.4677286,-88.7625865,80.260,.20,
10/19/2016,14:04:20,33.4677284,-88.7625865,80.320,.49,
10/19/2016,14:04:21,33.4677281,-88.7625866,80.340,.40,
10/19/2016,14:04:22,33.4677279,-88.7625867,80.310,.10,
10/19/2016,14:04:22,33.4677277,-88.7625869,80.300,.10,
10/19/2016,14:04:23,33.4677276,-88.7625870,80.290,.10,
10/19/2016,14:04:24,33.4677275,-88.7625872,80.260,.20,
10/19/2016,14:04:24,33.4677275,-88.7625873,80.270,.20,
10/19/2016,14:04:25,33.4677276,-88.7625874,80.270,.20,
